"","dept_e","visible_minority","yes","no","notSure","anscount","A.psychologically.healthy.workplace","A.safe.and.healthy.workplace","Anti.racism","Discrimination","Diversity.and.inclusion","Duty.to.accommodate","Employee.Engagement","Empowerment","Ethical.workplace","Harassment","Immediate.supervisor","Job.fit.and.development","Organizational.goals","Organizational.performance","Pay.or.other.compensation.issues","Performance.management","Physical.environment.and.equipment","Senior.management","Use.of.official.languages","Work.life.balance.and.workload","Work.related.stress","Support.to.resolve.pay.or.other.compensation.issues"
"34","Library and Archives Canada","Black",32,33,35,12,87.5,88.2222222222222,53.3333333333333,74,81,42.6666666666667,77.8571428571429,84,72.5,64.5,94.3333333333333,29.875,90,20.6666666666667,33.5,77.3333333333333,81,75.25,91,84.5,9.74074074074074,NA
"35","Micro-organizations combined","Black",17,24,59,28,74,89,57.3333333333333,37.3333333333333,92.3333333333333,32.6666666666667,89.1428571428571,77.5,82,75,87.6666666666667,38.625,94,18.7777777777778,29,87.6666666666667,88.6666666666667,88.75,91,72.75,16.5185185185185,39.5
"36","National Research Council Canada","Black",20,45,35,68,80.8,87.7272727272727,68.3333333333333,66,90,37.3333333333333,83.1428571428571,81.5,70.75,48,81.3333333333333,35.375,84,27.3333333333333,11,79,82,78.75,81,68.75,12.8888888888889,NA
"37","Natural Resources Canada","Black",34,26,40,67,75.8,85.2727272727273,60.3333333333333,18.25,79.8333333333333,58.6666666666667,74,78.25,67.25,44,85.6666666666667,38,82.5,25.5555555555556,29.6666666666667,80.6666666666667,81.3333333333333,72,82.5,67.5,11.8148148148148,34.5
"38","Natural Sciences and Engineering Research Council of Canada","Black",12,40,48,17,85.25,89.2222222222222,47.6666666666667,49.5,78.8333333333333,35.3333333333333,82.7142857142857,79,60,58.5,90,38.25,88,15.1111111111111,8,80.6666666666667,80,86.5,82,62,9.85185185185185,NA
"39","Office of the Auditor General of Canada","Black",18,46,37,18,91,95.5555555555556,52.6666666666667,58,84.1666666666667,46.6666666666667,81,76.5,83.5,64.5,90.3333333333333,44.625,100,22.4444444444444,22.5,80.6666666666667,94,85,97,77.75,16.5185185185185,NA
"40","Office of the Chief Electoral Officer","Black",35,21,44,37,70.5,85,45.3333333333333,47.5,78.3333333333333,37.6666666666667,75.7142857142857,70.25,60.25,35,77.6666666666667,39.375,87.5,26.2222222222222,6.5,78.3333333333333,83,76.75,89.5,72.5,15.8888888888889,NA
"41","Parks Canada","Black",46,18,36,29,70.75,83.4444444444444,42.3333333333333,23.7272727272727,57.3333333333333,38,67.4285714285714,57.25,52.75,35,70.6666666666667,39,79,38.1111111111111,24.5,60.3333333333333,81.3333333333333,54.25,79,70,13.8518518518519,NA
"42","Privy Council Office","Black",51,23,26,30,76.25,87.2222222222222,75,54.6666666666667,82,38,75,82,73.25,55.3333333333333,80.6666666666667,37.25,83.5,32.4444444444444,20,78.6666666666667,79.3333333333333,86.5,89,73,15.0740740740741,NA
"43","Public Health Agency of Canada","Black",38,19,43,55,73.4,83.6363636363636,52,39.3333333333333,82.8333333333333,40.2,79.2857142857143,78.75,67,66.5,87.3333333333333,41,82.5,31.6666666666667,26,78,82.3333333333333,79.25,83,68.5,18.3703703703704,20.5
